id,section,pdf_pages,archive_entry,url_entry,title,original_pages,multi,duplicate,status,source_url,notes
ARCH-001,ARCHIVE,5-6,001,,How does gRPC work?,12-13,YES,NO,COMPLETED,,visual:5; study:001 complete; fit-audit:RETRO-001-060
ARCH-002,ARCHIVE,7-8,002,,Docker vs. Kubernetes. Which one should we use?,14-15,YES,NO,COMPLETED,,visual:7; study:002 complete; fit-audit:RETRO-001-060
ARCH-003,ARCHIVE,9-10,003,,A Cheatsheet on Infrastructure as Code Landscape,20-21,YES,NO,COMPLETED,,visual:9; study:003 complete; fit-audit:RETRO-001-060
ARCH-004,ARCHIVE,11-12,004,,A Crash Course on Architectural Scalability,22-23,YES,NO,COMPLETED,,visual:11; study:004 complete; fit-audit:RETRO-001-060
ARCH-005,ARCHIVE,13-14,005,,Cookies Vs Sessions Vs JWT Vs PASETO,26-27,YES,NO,COMPLETED,,visual:13; study:005 complete; fit-audit:RETRO-001-060
ARCH-006,ARCHIVE,15-16,006,,The Ultimate API Learning Roadmap,30-31,YES,NO,COMPLETED,,visual:15; study:006 complete; fit-audit:RETRO-001-060
ARCH-007,ARCHIVE,17-18,007,,10 Essential Components of a Production Web Application,34-35,YES,NO,COMPLETED,,visual:17; study:007 complete; fit-audit:RETRO-001-060
ARCH-008,ARCHIVE,19-20,008,,"Session, Cookie, JWT, Token, SSO, and OAuth 2.0 Explained in One Diagram",36-37,YES,NO,COMPLETED,,visual:19; study:008 complete; fit-audit:RETRO-001-060
ARCH-009,ARCHIVE,21-22,009,,A Cheatsheet on Database Performance,46-47,YES,NO,COMPLETED,,visual:21; study:009 complete; fit-audit:RETRO-001-060
ARCH-010,ARCHIVE,23-24,010,,JWT 101: Key to Stateless Authentication,51-52,YES,NO,COMPLETED,,visual:23; study:010 complete; overlaps URL-052 later; fit-audit:RETRO-001-060
ARCH-011,ARCHIVE,25-26,011,,12 Algorithms for System Design Interviews,59-60,YES,NO,COMPLETED,,visual:25; study:011 complete; fit-audit:RETRO-001-060
ARCH-012,ARCHIVE,27-28,012,,PostgreSQL 101: The Everything Database,63-64,YES,NO,COMPLETED,,visual:27; study:012 complete; fit-audit:RETRO-001-060
ARCH-013,ARCHIVE,29-30,013,,Top 12 Tips for API Security,65-66,YES,NO,COMPLETED,,visual:29; study:013 complete; fit-audit:RETRO-001-060
